SubmitTime,Problem,InvokerTime,Invocations,TestCount,TL
439655,148,293,4,81,1000
442163,148,5075,57,81,1000
442306,148,67,1,81,1000
443944,23,429,6,70,4000
444047,148,5240,57,81,1000
444877,148,1662,23,81,1000
446594,148,278,4,81,1000
446819,148,272,4,81,1000
447641,148,5166,57,81,1000
447659,148,831,11,81,1000
448509,148,331,5,81,1000
453126,148,4302,57,81,1000
453616,148,7127,57,81,1000
455674,148,6304,81,81,1000
457724,148,5151,57,81,1000
459393,148,5948,81,81,1000
459820,23,7616,70,70,4000
461187,148,963,13,81,1000
461739,23,18811,70,70,4000
462610,148,394,6,81,1000
462877,148,784,11,81,1000
463944,23,46029,70,70,4000
464142,148,6059,81,81,1000
465247,89,51,1,56,500
465818,148,321,4,81,1000
466344,148,152,2,81,1000
466851,148,5844,81,81,1000
466866,148,5282,57,81,1000
467657,90,715,3,15,2000
468140,148,7966,57,81,1000
469407,148,741,10,81,1000
469438,148,384,5,81,1000
469760,148,723,10,81,1000
469851,148,6073,81,81,1000
470243,148,1012,13,81,1000
471405,148,69,1,1,1000
471830,148,577,8,81,1000
472175,148,931,11,81,1000
473165,148,725,10,81,1000
473684,23,11454,70,70,4000
474055,148,598,8,81,1000
475673,148,5852,81,81,1000
476254,148,623,9,81,1000
476540,148,5354,57,81,1000
478985,148,6244,74,81,1000
479403,148,5790,81,81,1000
479445,148,1219,16,81,1000
479819,148,679,9,81,1000
480088,148,5221,57,81,1000
480207,23,8002,70,70,4000
481694,91,84,1,51,2000
482208,148,280,4,81,1000
483474,148,5984,81,81,1000
483704,148,5993,81,81,1000
485800,92,254,3,45,1000
490687,148,940,13,81,1000
491190,148,5839,81,81,1000
491722,148,5969,81,81,1000
491882,23,476,6,70,4000
495760,23,40415,70,70,4000
496047,23,7618,70,70,4000
499416,148,6670,57,81,1000
500196,94,1513,21,21,2000
500654,148,6053,81,81,1000
501654,148,798,11,81,1000
502208,148,5800,81,81,1000
502832,148,5947,81,81,1000
503439,23,14773,70,70,4000
504597,148,5964,81,81,1000
505974,148,5268,57,81,1000
506280,148,70,1,1,1000
507207,148,1117,16,81,1000
508357,23,40295,70,70,4000
508904,148,323,4,81,1000
511331,148,318,4,81,1000
512539,148,1106,14,81,1000
512750,148,6009,81,81,1000
513333,95,126,2,35,4000
513877,23,47197,70,70,4000
514368,96,7413,87,87,2000
514717,148,4209,59,81,1000
515121,148,994,13,81,1000
515347,148,5737,81,81,1000
518111,148,1064,14,81,1000
519201,148,5006,57,81,1000
520832,148,295,4,81,1000
521353,148,6004,81,81,1000
521907,148,1662,21,81,1000
525135,148,1206,15,81,1000
525841,23,674,9,70,4000
526167,23,8397,70,70,4000
526945,148,1160,16,81,1000
528084,148,311,4,81,1000
528234,23,16780,70,70,4000
529050,148,1059,13,81,1000
532257,97,4435,50,50,2000
532664,148,5987,81,81,1000
532905,148,83,1,1,1000
533203,148,95,1,81,1000
533538,148,5969,81,81,1000
533869,148,5245,57,81,1000
534294,148,656,9,81,1000
534330,148,4277,57,81,1000
539627,148,62,1,81,1000
540256,148,6561,74,81,1000
540457,148,5977,81,81,1000
540743,148,5017,57,81,1000
541470,148,5315,57,81,1000
542161,148,6053,81,81,1000
543670,98,250,3,50,3000
543735,148,730,9,81,1000
544010,148,92,1,81,1000
544829,148,344,5,81,1000
545437,23,14812,70,70,4000
547204,148,1673,21,81,1000
548742,148,1210,9,81,1000
549507,148,407,5,81,1000
550105,99,989,13,55,2000
551634,148,814,11,81,1000
555938,148,80,1,81,1000
556061,148,653,9,81,1000
556501,148,311,4,81,1000
558688,23,7903,70,70,4000
559643,23,2490,34,70,4000
560287,81,39213,28,28,4000
561498,148,438,6,81,1000
562467,148,269,4,81,1000
562986,148,5018,57,81,1000
563058,148,702,10,81,1000
564504,23,8495,70,70,4000
565146,148,4038,57,81,1000
565835,148,409,6,81,1000
567163,148,758,11,81,1000
567170,148,6328,81,81,1000
576198,23,40339,70,70,4000
576219,148,1186,16,81,1000
577622,148,93,1,81,1000
578444,148,957,13,81,1000
582977,148,247,4,81,1000
583497,148,4461,57,81,1000
584007,148,964,13,81,1000
585006,148,63,1,81,1000
585497,23,166,2,70,4000
585869,148,5059,57,81,1000
585875,148,813,11,81,1000
587101,23,478,6,70,4000
588001,148,6102,81,81,1000
590467,148,4417,57,81,1000
591359,148,6106,81,81,1000
592344,148,6123,81,81,1000
593142,148,873,13,81,1000
595131,148,582,9,81,1000
598510,148,3429,30,81,1000
598515,148,325,4,81,1000
599455,148,727,10,81,1000
600243,148,6047,81,81,1000
600782,148,1177,16,81,1000
601758,148,5611,74,81,1000
603500,148,1303,16,81,1000
604907,148,815,11,81,1000
604964,148,891,13,81,1000
605497,148,5825,81,81,1000
609164,148,1034,14,81,1000
610348,148,1054,11,81,1000
611520,148,5314,57,81,1000
611784,148,1141,14,81,1000
613750,23,395,6,70,4000
614221,148,1046,14,81,1000
615367,148,296,4,81,1000
615827,100,5619,78,78,1000
616313,80,4344,33,33,1000
617673,148,535,5,81,1000
617919,23,7463,70,70,4000
618195,23,84,1,1,4000
619435,148,4314,57,81,1000
619603,101,143,2,50,3000
621264,92,193,3,45,1000
621503,148,7175,57,81,1000
622384,148,983,13,81,1000
623766,148,346,4,81,1000
624319,148,6172,81,81,1000
626069,148,5999,81,81,1000
627700,148,5166,57,81,1000
628435,102,5987,81,81,2000
628874,148,5294,57,81,1000
631035,23,8334,70,70,4000
631818,148,6098,81,81,1000
631910,148,5155,57,81,1000
632403,148,5984,81,81,1000
634468,148,990,14,81,1000
634810,148,1272,16,81,1000
635185,23,10128,70,70,4000
635798,148,8301,57,81,1000
638243,137,85,1,1,1000
638386,148,69,1,1,1000
639946,148,2280,30,81,1000
640266,103,9334,35,35,2000
640341,148,236,4,81,1000
641484,148,5157,57,81,1000
642750,23,161,2,70,4000
643454,148,4280,57,81,1000
643908,105,2322,31,31,2000
645820,148,744,11,81,1000
646357,148,206,3,81,1000
647459,148,509,4,81,1000
647661,23,431,6,70,4000
650428,148,1154,16,81,1000
651363,106,1475,11,37,2000
652226,23,280,4,70,4000
655044,23,7691,70,70,4000
655150,148,57,1,1,1000
655846,148,255,4,81,1000
658034,23,41144,70,70,4000
658200,107,2006,28,105,3000
658827,148,711,9,81,1000
659520,148,4364,57,81,1000
661216,89,79,1,56,500
661896,148,5138,57,81,1000
661976,148,6210,81,81,1000
662711,23,16773,70,70,4000
663840,148,79,1,1,1000
664026,148,5255,57,81,1000
665436,23,1749,23,70,4000
666409,148,90,1,81,1000
667797,148,1035,15,81,1000
668284,148,115,1,81,1000
669423,148,53,1,1,1000
670542,148,71,1,1,1000
674923,148,67,1,1,1000
675723,148,745,10,81,1000
678956,148,982,13,81,1000
678973,23,482,6,70,4000
679891,148,1029,13,81,1000
683855,148,5175,57,81,1000
683974,137,1637,11,67,1000
684506,23,474,6,70,4000
685203,148,727,9,81,1000
686387,23,41332,70,70,4000
687344,148,1173,16,81,1000
687357,148,5820,81,81,1000
690111,23,14924,70,70,4000
690216,148,5027,57,81,1000
690432,148,200,2,81,1000
690921,148,5078,57,81,1000
692948,148,1176,11,81,1000
693789,148,264,4,81,1000
697270,23,40384,70,70,4000
699880,23,7852,70,70,4000
699932,23,7513,70,70,4000
700998,148,8941,81,81,1000
702039,148,6019,81,81,1000
703227,148,417,6,81,1000
704230,148,148,2,81,1000
709550,148,290,4,81,1000
710273,148,1127,15,81,1000
711246,80,1413,18,33,1000
712169,148,7786,57,81,1000
712265,148,441,5,81,1000
712485,148,6207,81,81,1000
712669,148,54,1,81,1000
713025,148,1025,13,81,1000
713155,23,519,6,70,4000
713612,148,913,13,81,1000
715365,23,14752,70,70,4000
716278,148,84,1,1,1000
716683,23,388,6,70,4000
717185,148,87,1,1,1000
718003,23,14357,70,70,4000
723834,148,803,11,81,1000
724335,148,127,1,81,1000
724574,23,2628,35,70,4000
725044,148,95,1,1,1000
726237,148,1071,16,81,1000
727354,108,672,9,39,1000
728052,148,51,1,81,1000
728466,148,799,11,81,1000
729578,148,239,3,81,1000
731065,23,7806,70,70,4000
732183,148,310,4,81,1000
735286,148,5054,57,81,1000
737283,23,9870,70,70,4000
739903,148,1352,16,81,1000
743381,105,2202,31,31,2000
744912,23,8251,70,70,4000
745015,23,96,1,1,4000
745742,148,230,3,81,1000
748138,148,5193,57,81,1000
749105,23,420,6,70,4000
750144,148,330,4,81,1000
750358,23,7669,70,70,4000
751449,23,15364,70,70,4000
752948,148,2177,30,81,1000
755032,148,1033,15,81,1000
755369,148,5311,57,81,1000
756182,109,68,1,64,2000
757621,148,6026,81,81,1000
759518,23,7877,70,70,4000
760084,148,2301,30,81,1000
763295,110,6893,95,95,2000
763775,148,5245,57,81,1000
765673,148,1080,15,81,1000
767326,23,63,1,1,4000
769250,148,151,2,81,1000
770271,148,4891,57,81,1000
770987,23,40971,70,70,4000
772413,148,5995,81,81,1000
774459,148,4864,63,81,1000
775104,111,284,2,43,1000
775772,148,995,14,81,1000
777073,23,8684,70,70,4000
783870,148,97,1,81,1000
785287,23,8986,70,70,4000
789032,23,7791,70,70,4000
789355,23,96,1,1,4000
789952,148,4221,57,81,1000
791371,148,139,2,81,1000
791631,148,4285,57,81,1000
792452,148,5967,81,81,1000
792676,148,4212,58,81,1000
792841,148,844,11,81,1000
792899,148,311,4,81,1000
794274,148,4409,57,81,1000
795574,112,2202,28,28,1000
796547,148,58,1,1,1000
798338,148,684,9,81,1000
799251,148,1069,14,81,1000
799526,23,41276,70,70,4000
799619,148,1234,16,81,1000
800887,148,772,11,81,1000
801827,148,1161,15,81,1000
803449,148,923,13,81,1000
803592,23,230,3,70,4000
806335,148,294,4,81,1000
807138,23,526,6,70,4000
808551,1,624,8,71,2000
808590,148,299,4,81,1000
810070,23,7869,70,70,4000
813513,23,892,12,70,4000
813608,148,5259,57,81,1000
818098,23,14726,70,70,4000
818259,148,1658,14,81,1000
818558,23,449,6,70,4000
818792,23,41229,70,70,4000
818965,148,935,12,81,1000
822310,23,7902,70,70,4000
822722,148,966,14,81,1000
822853,148,1404,19,81,1000
823336,98,1409,16,50,3000
824002,23,405,6,70,4000
826010,148,5257,57,81,1000
828399,23,41378,70,70,4000
831241,148,6132,81,81,1000
831781,148,804,11,81,1000
832372,148,1827,23,81,1000
832508,148,5140,57,81,1000
832636,148,2167,30,81,1000
833638,148,5037,57,81,1000
834493,148,5263,57,81,1000
834717,23,95,1,1,4000
836701,23,9652,70,70,4000
837515,148,9134,81,81,1000
837890,23,14946,70,70,4000
838220,148,1018,14,81,1000
838407,148,825,10,81,1000
840330,23,19552,70,70,4000
840985,148,6099,81,81,1000
843687,95,420,3,35,4000
845057,148,2043,15,81,1000
845187,148,268,4,81,1000
845848,137,1525,11,67,1000
846106,148,6297,81,81,1000
846230,23,24645,70,70,4000
846745,148,1011,13,81,1000
849929,148,1045,15,81,1000
850913,101,167,2,50,3000
851500,148,440,6,81,1000
852261,148,5175,57,81,1000
852623,148,1773,15,81,1000
853367,148,135,1,81,1000
853460,148,992,13,81,1000
855925,23,7568,70,70,4000
856121,113,181,2,42,2000
857960,148,7863,57,81,1000
859199,80,2980,33,33,1000
861720,111,4922,43,43,1000
864316,148,704,10,81,1000
864561,148,740,10,81,1000
865073,148,230,2,81,1000
866056,148,5127,57,81,1000
866428,148,1004,13,81,1000
867586,23,14906,70,70,4000
869806,148,209,3,81,1000
870255,148,1009,14,81,1000
870582,148,5856,81,81,1000
873421,148,298,4,81,1000
877949,148,423,6,81,1000
878216,148,575,8,81,1000
878893,148,5065,57,81,1000
879157,148,4123,57,81,1000
879580,23,7621,70,70,4000
879763,23,8119,70,70,4000
880854,23,449,6,70,4000
880895,23,8094,70,70,4000
882960,108,2986,39,39,1000
883336,148,56,1,81,1000
884103,23,461,6,70,4000
884249,23,7967,70,70,4000
884473,148,5832,81,81,1000
887432,148,2246,30,81,1000
888260,148,5155,57,81,1000
888861,148,5199,57,81,1000
889640,148,295,4,81,1000
893795,56,66,1,64,2000
897643,148,310,4,81,1000
898225,23,14832,70,70,4000
898432,23,480,6,70,4000
898600,148,5425,74,81,1000
902021,148,1621,23,81,1000
902489,148,5409,57,81,1000
902780,114,64,1,45,1000
903577,23,448,6,70,4000
904155,148,367,5,81,1000
904688,148,682,9,81,1000
906329,148,1360,11,81,1000
907910,148,5869,81,81,1000
908595,148,905,11,81,1000
910557,148,80,1,1,1000
910955,148,791,10,81,1000
911078,23,478,6,70,4000
912046,148,2015,13,81,1000
913810,23,7926,70,70,4000
914045,148,5165,57,81,1000
914277,148,6135,81,81,1000
914875,148,5262,57,81,1000
915234,148,468,6,81,1000
917798,148,5790,74,81,1000
917898,148,830,11,81,1000
917974,148,273,4,81,1000
919249,148,5160,57,81,1000
919934,148,1046,14,81,1000
920036,23,408,6,70,4000
921041,23,40200,70,70,4000
921789,148,770,10,81,1000
922177,148,1387,14,81,1000
922180,23,2562,35,70,4000
924320,23,346,6,70,4000
924439,23,441,6,70,4000
925113,148,715,10,81,1000
925927,148,219,3,81,1000
926692,80,154,2,33,1000
928356,148,141,2,81,1000
930892,148,5993,81,81,1000
933462,148,662,9,81,1000
933509,148,150,2,81,1000
934854,148,361,5,81,1000
935529,114,224,3,45,1000
938777,23,398,6,70,4000
938850,148,1065,13,81,1000
939281,148,147,2,81,1000
940443,148,321,4,81,1000
940932,23,16934,70,70,4000
941791,148,4203,57,81,1000
943593,148,94,1,1,1000
943757,148,6972,57,81,1000
944636,148,842,11,81,1000
945920,23,6429,34,70,4000
946202,23,1446,19,70,4000
946422,106,1529,12,37,2000
947061,80,523,7,33,1000
947528,100,5691,78,78,1000
948642,23,7956,70,70,4000
949208,148,1170,16,81,1000
949570,148,50,1,81,1000
950785,23,17300,70,70,4000
951027,23,457,6,70,4000
951629,116,132,2,20,2000
953086,148,297,4,81,1000
953950,148,69,1,1,1000
954137,148,5820,81,81,1000
954977,148,21434,51,81,1000
955255,148,6524,74,81,1000
955317,148,252,4,81,1000
956634,117,5659,36,36,1000
958489,148,1216,17,81,1000
959403,148,1672,22,81,1000
960357,80,174,2,33,1000
962548,148,70,1,1,1000
963641,148,1071,14,81,1000
964727,148,287,4,81,1000
965680,148,635,9,81,1000
967338,148,1033,14,81,1000
969224,56,51,1,64,2000
970229,23,2841,34,70,4000
971064,148,738,11,81,1000
971076,23,487,6,70,4000
971375,148,5422,74,81,1000
971519,148,1389,11,81,1000
977199,80,855,12,33,1000
978367,23,7721,70,70,4000
978954,148,82,1,81,1000
979107,23,59,1,1,4000
979910,148,5175,57,81,1000
982398,23,40208,70,70,4000
982658,148,5950,81,81,1000
983665,148,6094,81,81,1000
984590,148,1285,16,81,1000
984946,80,716,9,33,1000
985119,148,765,9,81,1000
985620,148,289,4,81,1000
986068,80,4168,33,33,1000
986342,148,1583,15,81,1000
987954,148,1127,15,81,1000
989223,23,16727,70,70,4000
990587,148,5183,57,81,1000
990603,148,5204,57,81,1000
990655,98,14056,50,50,3000
991031,148,6649,75,81,1000
993075,80,2312,18,33,1000
996796,148,6008,81,81,1000
998070,23,146,2,70,4000
999393,23,7900,34,70,4000
1001683,23,3028,34,70,4000
1001967,116,1496,20,20,2000
1002370,148,89,1,1,1000
1004381,148,1625,23,81,1000
1005777,148,5977,81,81,1000
1007300,148,95,1,1,1000
1007424,118,90,1,137,2000
1009627,119,247,3,47,1000
1009697,148,1017,13,81,1000
1010395,148,99,1,81,1000
1010981,148,1550,14,81,1000
1011599,148,4259,57,81,1000
1012209,23,14690,70,70,4000
1014153,120,544,7,100,1000
1014825,80,2557,33,33,1000
1015394,148,5090,57,81,1000
1016660,148,5232,57,81,1000
1016929,23,430,6,70,4000
1018064,23,133,2,70,4000
1019450,148,5092,57,81,1000
1019617,148,2686,36,81,1000
1022862,23,467,6,70,4000
1023043,23,421,6,70,4000
1025661,148,63,1,1,1000
1026643,148,6121,81,81,1000
1027672,121,200,3,85,2000
1027769,148,84,1,81,1000
1027985,148,6255,81,81,1000
1029839,23,45303,70,70,4000
1030547,148,8847,81,81,1000
1031109,148,760,11,81,1000
1032104,80,2481,33,33,1000
1033383,23,17356,70,70,4000
1034551,122,3837,26,80,2000
1035130,148,948,13,81,1000
1036362,148,85,1,81,1000
1036819,148,5251,57,81,1000
1037992,148,958,14,81,1000
1040971,148,717,11,81,1000
1041436,23,7560,70,70,4000
1041764,148,624,9,81,1000
1042223,23,79,1,1,4000
1043039,80,1352,18,33,1000
1043275,23,7550,70,70,4000
1043884,123,97,1,1,1000
1045432,148,992,13,81,1000
1047043,148,4152,57,81,1000
1048054,23,7817,70,70,4000
1048080,148,753,10,81,1000
1048408,148,601,9,81,1000
1049265,23,6455,34,70,4000
1051109,23,8286,70,70,4000
1051169,148,1054,13,81,1000
1051336,120,7238,100,100,1000
1051449,148,152,2,81,1000
1053382,23,23175,70,70,4000
1055183,148,799,11,81,1000
1056267,148,536,8,81,1000
1057222,148,658,10,81,1000
1057441,124,2007,27,27,1000
1057869,23,46292,70,70,4000
1058114,148,1596,21,81,1000
1061608,148,1051,14,81,1000
1064621,148,233,4,81,1000
1065535,148,1028,14,81,1000
1068323,148,1053,14,81,1000
1069021,148,74,1,1,1000
1069222,148,688,9,81,1000
1071764,148,5012,57,81,1000
1071895,148,5398,74,81,1000
1071996,23,33244,70,70,4000
1072572,148,768,11,81,1000
1073978,148,1180,16,81,1000
1074366,80,2336,33,33,1000
1074624,148,73,1,81,1000
1075162,23,439,6,70,4000
1075393,23,414,6,70,4000
1075594,148,6230,81,81,1000
1075894,148,6058,81,81,1000
1076257,148,6142,81,81,1000
1076920,148,399,4,81,1000
1078883,23,2787,35,70,4000
1078967,80,1409,18,33,1000
1081947,23,14902,70,70,4000
1082457,23,14448,70,70,4000
1083598,148,62,1,81,1000
1084914,23,40161,70,70,4000
1088006,148,92,1,1,1000
1088200,148,300,4,81,1000
1088464,23,6476,34,70,4000
1088888,23,94,1,1,4000
1088900,148,6002,81,81,1000
1089120,80,1387,18,33,1000
1089336,80,115,2,33,1000
1090049,148,860,11,81,1000
1091266,23,8218,70,70,4000
1093619,148,845,11,81,1000
1093630,148,6004,81,81,1000
1098001,23,15516,70,70,4000
1100142,148,814,11,81,1000
1100199,23,42658,70,70,4000
1100269,123,70,1,1,1000
1101360,85,15859,31,32,3000
1101634,23,7733,70,70,4000
1104077,80,2277,18,33,1000
1104221,148,8201,57,81,1000
1104299,80,1407,18,33,1000
1105246,148,320,4,81,1000
1106777,148,9058,81,81,1000
1107173,23,445,6,70,4000
1108537,23,721,6,70,4000
1109461,56,867,12,64,2000
1110861,148,9481,81,81,1000
1111098,23,8154,70,70,4000
1112962,23,16904,70,70,4000
1115351,148,5984,81,81,1000
1117105,113,167,2,42,2000
1119290,148,1478,13,81,1000
1120685,148,1025,14,81,1000
1121299,23,42862,70,70,4000
1123813,125,184,3,45,2000
1125274,23,904,12,70,4000
1125776,23,14666,70,70,4000
1125900,23,71,1,1,4000
1126100,148,5121,57,81,1000
1126458,148,1099,16,81,1000
1128113,148,1732,24,81,1000
1129294,148,2570,36,81,1000
1132901,23,8171,70,70,4000
1133062,23,451,6,70,4000
