SubmitTime,Problem,InvokerTime,Invocations,TestCount,TL
503338,73,19866,13,124,4000
503358,74,12604,171,171,2000
503400,74,993,14,171,2000
503416,75,9402,75,75,2000
503506,73,29437,53,124,4000
503536,74,12620,171,171,2000
503558,75,5510,75,75,2000
503583,74,19949,171,171,2000
503604,75,1872,16,75,2000
503646,75,1965,16,75,2000
503653,74,1022,13,171,2000
503785,74,368,5,171,2000
504056,75,7796,75,75,2000
504141,75,5384,71,75,2000
504173,75,5595,75,75,2000
504397,75,5567,75,75,2000
504622,75,8241,75,75,2000
504772,75,159,2,75,2000
506654,76,171,2,19,1000
508727,9,23699,63,63,2000
521994,54,84,1,1,1000
532188,54,91,1,1,1000
533834,77,2646,36,36,1000
534622,32,2579,34,34,1000
534639,78,244,3,10,500
546592,79,13909,54,54,2000
549632,58,14760,27,27,2000
551344,57,1528,20,80,1500
553202,10,168,2,59,2000
554037,14,3659,3,42,3500
554708,80,2279,29,29,1000
558605,81,3080,26,26,1000
559793,82,2258,32,32,2000
569714,84,4462,19,66,2500
572669,85,1329,13,25,1000
580333,23,51,1,1,2000
589872,86,405,5,69,2000
648521,83,70,1,28,3000
656190,94,733,9,51,2000
663864,87,2518,25,81,1000
677157,67,32446,75,75,2000
685421,88,159,2,28,1000
686187,89,226,2,20,1000
703933,26,54724,62,62,3000
705995,28,573,7,40,1000
714328,90,2234,30,30,2000
723033,23,71,1,35,2000
724183,16,1687,14,28,1000
749091,91,224,3,25,2000
752356,92,1377,6,47,1000
778630,93,493,4,30,2000
797139,76,1491,19,19,1000
809223,95,79,1,40,2000
834222,96,78,1,34,2000
834371,95,2915,40,40,2000
841668,97,2774,36,36,1000
842433,98,20705,71,71,2000
848714,36,74,1,84,2000
851869,99,3270,45,45,2000
859346,30,3746,46,46,2000
861680,100,324,5,67,2000
863198,101,6258,87,87,2000
866062,83,68,1,28,3000
882099,102,81,1,10,1000
899039,103,290,4,35,1000
910975,104,5709,25,38,1000
918868,2,531,7,50,2000
919851,3,4156,56,80,1000
920809,24,5214,71,71,2000
938680,4,6746,89,89,2000
940760,92,248,3,47,1000
943476,5,2633,36,36,1000
973959,6,70,1,59,2000
976318,7,1793,25,25,2000
992899,50,496,6,65,1000
996610,94,653,9,51,2000
